"page_url","provider","video_id","embed_url","title","role","transcript_status","migration_stage","qa_status","owner_decision_status","page_model_file","notes"
"https://www.40daysofholiness.com/day08","VIMEO","509224332","https://vimeo.com/509224332","Day 08 -  Holiness has degrees","TEACHING","TRANSCRIPT_RETRIEVED","TRANSCRIPT_RETRIEVED","NOT_TESTED","PENDING_OWNER_REVIEW","3d5cce_5556b165faede429a165ea1008adf5cb_307.json","Read-only Vimeo metadata checked; 1 English text track(s) available."
"https://www.40daysofholiness.com/day08","VIMEO","535391898","https://vimeo.com/535391898","Day 08 - Guided Prayer - Deeper Levels of Holiness Are possible.mp4","GUIDED_PRAYER","TRANSCRIPT_RETRIEVED","TRANSCRIPT_RETRIEVED","NOT_TESTED","PENDING_OWNER_REVIEW","3d5cce_5556b165faede429a165ea1008adf5cb_307.json","Read-only Vimeo metadata checked; 1 English text track(s) available."
"https://www.40daysofholiness.com/day16","VIMEO","519674883","https://vimeo.com/519674883","","","NOT_AUTHORIZED","VIDEO_IDENTIFIED","NOT_TESTED","PENDING_OWNER_REVIEW","3d5cce_cbc45ab06a1adf652013b02081928a13_307.json","Discovered in public Wix feature model; no Vimeo API call made."
"https://www.40daysofholiness.com/day16","VIMEO","527465780","https://vimeo.com/527465780","","","NOT_AUTHORIZED","VIDEO_IDENTIFIED","NOT_TESTED","PENDING_OWNER_REVIEW","3d5cce_cbc45ab06a1adf652013b02081928a13_307.json","Discovered in public Wix feature model; no Vimeo API call made."
"https://www.40daysofholiness.com/day26","VIMEO","520179046","https://vimeo.com/520179046","","","NOT_AUTHORIZED","VIDEO_IDENTIFIED","NOT_TESTED","PENDING_OWNER_REVIEW","3d5cce_0df00d8493353092129d910cf2de5275_307.json","Discovered in public Wix feature model; no Vimeo API call made."
"https://www.40daysofholiness.com/day26","VIMEO","528632768","https://vimeo.com/528632768","","","NOT_AUTHORIZED","VIDEO_IDENTIFIED","NOT_TESTED","PENDING_OWNER_REVIEW","3d5cce_0df00d8493353092129d910cf2de5275_307.json","Discovered in public Wix feature model; no Vimeo API call made."
"https://www.40daysofholiness.com/day06","VIMEO","509224021","https://vimeo.com/509224021","Day 06 - God saves his people FROM slavery, FOR holiness.","TEACHING","TRANSCRIPT_RETRIEVED","TRANSCRIPT_RETRIEVED","NOT_TESTED","PENDING_OWNER_REVIEW","3d5cce_68d4c7a25a58609c654d9872facfb8ad_307.json","Read-only Vimeo metadata checked; 1 English text track(s) available."
"https://www.40daysofholiness.com/day06","VIMEO","523102839","https://vimeo.com/523102839","Day 06 - Guided Prayer - God Saves his People From Slavery FOR Holiness","GUIDED_PRAYER","TRANSCRIPT_RETRIEVED","TRANSCRIPT_RETRIEVED","NOT_TESTED","PENDING_OWNER_REVIEW","3d5cce_68d4c7a25a58609c654d9872facfb8ad_307.json","Read-only Vimeo metadata checked; 1 English text track(s) available."
"https://www.40daysofholiness.com/day07","VIMEO","509224177","https://vimeo.com/509224177","Day 07 - God taught holiness throughout the OT.","TEACHING","TRANSCRIPT_RETRIEVED","TRANSCRIPT_RETRIEVED","NOT_TESTED","PENDING_OWNER_REVIEW","3d5cce_0815cc1008a9c2384dc96b1e5d5217c8_307.json","Read-only Vimeo metadata checked; 1 English text track(s) available."
"https://www.40daysofholiness.com/day07","VIMEO","523107854","https://vimeo.com/523107854","Day 07 - Guided Prayer - God Taught Holiness Through the Old Testament","GUIDED_PRAYER","TRANSCRIPT_RETRIEVED","TRANSCRIPT_RETRIEVED","NOT_TESTED","PENDING_OWNER_REVIEW","3d5cce_0815cc1008a9c2384dc96b1e5d5217c8_307.json","Read-only Vimeo metadata checked; 1 English text track(s) available."
"https://www.40daysofholiness.com/day14","VIMEO","517585306","https://vimeo.com/517585306","Day 14 - Holiness is Gifted to us at the New Birth","TEACHING","TRANSCRIPT_RETRIEVED","TRANSCRIPT_RETRIEVED","NOT_TESTED","PENDING_OWNER_REVIEW","3d5cce_7c1756176c302f3c0683c2fb21a65db8_307.json","Read-only Vimeo metadata checked; 1 English text track(s) available."
"https://www.40daysofholiness.com/day14","VIMEO","527534830","https://vimeo.com/527534830","Day 14 - Prayer for Holiness - How Does God make us holy?","GUIDED_PRAYER","TRANSCRIPT_RETRIEVED","TRANSCRIPT_RETRIEVED","NOT_TESTED","PENDING_OWNER_REVIEW","3d5cce_7c1756176c302f3c0683c2fb21a65db8_307.json","Read-only Vimeo metadata checked; 1 English text track(s) available."
"https://www.40daysofholiness.com/day37","VIMEO","520391285","https://vimeo.com/520391285","","","NOT_AUTHORIZED","VIDEO_IDENTIFIED","NOT_TESTED","PENDING_OWNER_REVIEW","3d5cce_60e86d30b80ed29b04aeac1170855b88_307.json","Discovered in public Wix feature model; no Vimeo API call made."
"https://www.40daysofholiness.com/day37","VIMEO","530959461","https://vimeo.com/530959461","","","NOT_AUTHORIZED","VIDEO_IDENTIFIED","NOT_TESTED","PENDING_OWNER_REVIEW","3d5cce_60e86d30b80ed29b04aeac1170855b88_307.json","Discovered in public Wix feature model; no Vimeo API call made."
"https://www.40daysofholiness.com/day28","VIMEO","520179932","https://vimeo.com/520179932","","","NOT_AUTHORIZED","VIDEO_IDENTIFIED","NOT_TESTED","PENDING_OWNER_REVIEW","3d5cce_b3897eae8c93767e5a94d13626651b7b_307.json","Discovered in public Wix feature model; no Vimeo API call made."
"https://www.40daysofholiness.com/day28","VIMEO","528633071","https://vimeo.com/528633071","","","NOT_AUTHORIZED","VIDEO_IDENTIFIED","NOT_TESTED","PENDING_OWNER_REVIEW","3d5cce_b3897eae8c93767e5a94d13626651b7b_307.json","Discovered in public Wix feature model; no Vimeo API call made."
"https://www.40daysofholiness.com/day18","VIMEO","517585707","https://vimeo.com/517585707","","","NOT_AUTHORIZED","VIDEO_IDENTIFIED","NOT_TESTED","PENDING_OWNER_REVIEW","3d5cce_3c195f7853afccd87ad333bb0ad2da42_307.json","Discovered in public Wix feature model; no Vimeo API call made."
"https://www.40daysofholiness.com/day18","VIMEO","528018830","https://vimeo.com/528018830","","","NOT_AUTHORIZED","VIDEO_IDENTIFIED","NOT_TESTED","PENDING_OWNER_REVIEW","3d5cce_3c195f7853afccd87ad333bb0ad2da42_307.json","Discovered in public Wix feature model; no Vimeo API call made."
"https://www.40daysofholiness.com/day33","VIMEO","520356633","https://vimeo.com/520356633","","","NOT_AUTHORIZED","VIDEO_IDENTIFIED","NOT_TESTED","PENDING_OWNER_REVIEW","3d5cce_b8d833e053f512e950c2756d7915a189_307.json","Discovered in public Wix feature model; no Vimeo API call made."
"https://www.40daysofholiness.com/day33","VIMEO","530932953","https://vimeo.com/530932953","","","NOT_AUTHORIZED","VIDEO_IDENTIFIED","NOT_TESTED","PENDING_OWNER_REVIEW","3d5cce_b8d833e053f512e950c2756d7915a189_307.json","Discovered in public Wix feature model; no Vimeo API call made."
"https://www.40daysofholiness.com/day35","VIMEO","520386189","https://vimeo.com/520386189","","","NOT_AUTHORIZED","VIDEO_IDENTIFIED","NOT_TESTED","PENDING_OWNER_REVIEW","3d5cce_19d244d3e4eb23354eb911efc453b120_307.json","Discovered in public Wix feature model; no Vimeo API call made."
